Date first seen,Date last seen,Proto,Src IP Addr,Dst IP Addr,Src Pt,Dst Pt,In Pkt,In Byte
2023-06-28 20:02:53.054,2023-06-28 20:05:23.664,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:05:08.671,2023-06-28 20:05:28.671,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.102,2023-06-28 20:05:32.705,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,9,882
2023-06-28 20:02:53.054,2023-06-28 20:05:32.705,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,9,882
2023-06-28 20:05:08.671,2023-06-28 20:05:38.340,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,29,1740
2023-06-28 20:03:03.102,2023-06-28 20:05:42.780,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:05:42.776,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:05:08.671,2023-06-28 20:05:48.340,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.102,2023-06-28 20:05:52.864,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:05:52.860,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:05:08.671,2023-06-28 20:05:58.341,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.102,2023-06-28 20:06:02.936,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:06:02.936,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:05:08.671,2023-06-28 20:06:08.009,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,29,1740
2023-06-28 20:03:03.102,2023-06-28 20:06:13.021,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:06:13.021,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
